
R=133, G=298, B=256, CCT=11541, LUX=410
R=171, G=352, B=315, CCT=13417, LUX=447
R=214, G=455, B=406, CCT=13444, LUX=586
R=105, G=217, B=175, CCT=8862, LUX=317
R=110, G=239, B=184, CCT=8044, LUX=372
R=112, G=240, B=189, CCT=8456, LUX=364
R=230, G=489, B=444, CCT=14824, LUX=613
R=226, G=481, B=440, CCT=15520, LUX=596
R=208, G=446, B=419, CCT=18766, LUX=530
R=206, G=396, B=387, CCT=25754, LUX=423
R=180, G=382, B=312, CCT=9340, LUX=554
R=189, G=470, B=401, CCT=11763, LUX=668
R=213, G=488, B=442, CCT=15149, LUX=626
R=254, G=542, B=484, CCT=13530, LUX=698
R=221, G=472, B=456, CCT=23885, LUX=533
R=244, G=487, B=471, CCT=23443, LUX=538
R=224, G=451, B=445, CCT=29368, LUX=480
R=170, G=354, B=319, CCT=14038, LUX=447
R=178, G=370, B=338, CCT=15198, LUX=457
R=174, G=360, B=322, CCT=13419, LUX=459
R=115, G=242, B=202, CCT=10000, LUX=341
R=113, G=236, B=198, CCT=10153, LUX=329
R=278, G=578, B=590, CCT=48809, LUX=580
R=261, G=574, B=544, CCT=20349, LUX=677
R=215, G=436, B=455, CCT=77060, LUX=412
R=208, G=420, B=407, CCT=24040, LUX=464
R=200, G=409, B=407, CCT=32935, LUX=430
R=200, G=421, B=418, CCT=32222, LUX=449
R=192, G=410, B=410, CCT=35567, LUX=433
R=183, G=400, B=379, CCT=20275, LUX=471
R=181, G=407, B=375, CCT=16702, LUX=506
R=190, G=421, B=396, CCT=19238, LUX=504
R=190, G=424, B=393, CCT=17320, LUX=521
R=183, G=412, B=377, CCT=15998, LUX=518
R=180, G=421, B=374, CCT=13760, LUX=558
R=184, G=429, B=378, CCT=13188, LUX=575
R=179, G=431, B=372, CCT=12171, LUX=599
R=201, G=425, B=424, CCT=34347, LUX=450
R=194, G=410, B=413, CCT=39387, LUX=425
R=208, G=414, B=412, CCT=32675, LUX=432
R=211, G=440, B=484, CCT=685682, LUX=366
R=228, G=486, B=507, CCT=75714, LUX=468
R=220, G=477, B=503, CCT=99082, LUX=450
R=216, G=466, B=484, CCT=68397, LUX=455
R=220, G=473, B=494, CCT=77733, LUX=456
R=221, G=473, B=498, CCT=95294, LUX=446
R=230, G=490, B=512, CCT=78625, LUX=470
R=211, G=436, B=456, CCT=80951, LUX=413
R=209, G=433, B=449, CCT=66379, LUX=419
R=174, G=375, B=390, CCT=70669, LUX=365
R=145, G=337, B=312, CCT=17518, LUX=419
R=295, G=606, B=600, CCT=30900, LUX=646
R=284, G=608, B=590, CCT=25020, LUX=682
R=120, G=250, B=174, CCT=6495, LUX=426
R=102, G=215, B=156, CCT=7001, LUX=353
R=105, G=221, B=161, CCT=7053, LUX=362
R=102, G=216, B=159, CCT=7213, LUX=350
R=105, G=222, B=161, CCT=7006, LUX=365
R=99, G=208, B=172, CCT=9680, LUX=296
R=128, G=258, B=230, CCT=12984, LUX=328
R=119, G=261, B=202, CCT=8186, LUX=405
R=115, G=252, B=196, CCT=8281, LUX=389
R=115, G=250, B=197, CCT=8527, LUX=380
R=88, G=186, B=148, CCT=8629, LUX=278
R=88, G=186, B=147, CCT=8469, LUX=280
R=88, G=185, B=147, CCT=8570, LUX=276
R=88, G=185, B=146, CCT=8419, LUX=278
R=91, G=186, B=148, CCT=8477, LUX=276
R=90, G=187, B=146, CCT=8135, LUX=284
R=91, G=193, B=150, CCT=8127, LUX=296
R=91, G=192, B=149, CCT=8079, LUX=295
R=88, G=190, B=148, CCT=8250, LUX=292
R=88, G=190, B=148, CCT=8250, LUX=292
R=88, G=190, B=148, CCT=8250, LUX=292
R=89, G=190, B=148, CCT=8202, LUX=291
R=89, G=190, B=148, CCT=8202, LUX=291
R=89, G=190, B=148, CCT=8202, LUX=291
R=89, G=190, B=148, CCT=8202, LUX=291
R=88, G=184, B=150, CCT=9219, LUX=266
R=88, G=184, B=148, CCT=8844, LUX=271
R=88, G=184, B=148, CCT=8844, LUX=271
R=88, G=184, B=147, CCT=8682, LUX=273
R=88, G=184, B=147, CCT=8682, LUX=273
R=88, G=184, B=147, CCT=8682, LUX=273
R=88, G=184, B=147, CCT=8682, LUX=273
R=88, G=184, B=146, CCT=8516, LUX=275
R=88, G=184, B=146, CCT=8516, LUX=275
R=88, G=184, B=146, CCT=8516, LUX=275
R=88, G=184, B=146, CCT=8516, LUX=275
R=88, G=184, B=146, CCT=8516, LUX=275
R=88, G=184, B=147, CCT=8682, LUX=273
R=88, G=184, B=146, CCT=8516, LUX=275
R=88, G=184, B=147, CCT=8682, LUX=273
R=88, G=184, B=147, CCT=8682, LUX=273
